# 408 真题解析 · 数据结构（2009-2024）
# 格式: 年份|科目|URL
2009|数据结构|https://zhuanlan.zhihu.com/p/575348442
2010|数据结构|https://zhuanlan.zhihu.com/p/574160078
2011|数据结构|https://zhuanlan.zhihu.com/p/573721052
2012|数据结构|https://zhuanlan.zhihu.com/p/573074413
2013|数据结构|https://zhuanlan.zhihu.com/p/572303218
2014|数据结构|https://zhuanlan.zhihu.com/p/571589683
2015|数据结构|https://zhuanlan.zhihu.com/p/570729543
2016|数据结构|https://zhuanlan.zhihu.com/p/570153486
2017|数据结构|https://zhuanlan.zhihu.com/p/569836098
2018|数据结构|https://zhuanlan.zhihu.com/p/569384179
2019|数据结构|https://zhuanlan.zhihu.com/p/568802303
2020|数据结构|https://zhuanlan.zhihu.com/p/568179565
2021|数据结构|https://zhuanlan.zhihu.com/p/567197731
2022|数据结构|https://zhuanlan.zhihu.com/p/565209806
2023|数据结构|https://zhuanlan.zhihu.com/p/596802996
2024|数据结构|https://zhuanlan.zhihu.com/p/721714546
